designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
King 14,N/A,N/A,Opn CL,CAS,8.5,-,7',00 31.9,+63 10,7.975,63.166666666666664,III 2 p
King 15,N/A,N/A,Opn CL,CAS,-,-,1.5',00 33.1,+61 52,8.275,61.86666666666667,IV 2p :b
King 16,N/A,N/A,Opn CL,CAS,10.3,-,3',00 43.7,+64 11,10.925,64.18333333333334,II 3 p
King 17,N/A,N/A,Opn CL,AUR,-,-,1.5',05 08.5,+39 05,77.125,39.083333333333336,II 2m :b
King 18,N/A,N/A,Opn CL,CEP,-,-,4',22 52.1,+58 19,343.025,58.31666666666667,II 2p :b
King 19,N/A,N/A,Opn CL,CEP,9.2,-,7',23 08.3,+60 31,347.075,60.516666666666666,II 2 m
King 20,N/A,N/A,Opn CL,CAS,-,-,4',23 33.2,+58 29,353.3,58.483333333333334,II 2p :b
King 21,N/A,N/A,Opn CL,CAS,9.8,-,2.5',23 49.9,+62 43,357.475,62.71666666666667,III 3 m
King 22,N/A,Berk  18,Opn CL,AUR,-,-,14',05 22.2,+45 28,80.55,45.46666666666667,III 3 r
King 23,N/A,Czernik 28,Opn CL,CMI,-,-,4',07 21.8,-00 59,110.45,-0.9833333333333333,III 2p :b
King 25,N/A,N/A,Opn CL,AQL,-,-,5',19 24.5,+13 42,291.125,13.7,III 2m :b
King 26,N/A,N/A,Opn CL,AQL,-,-,1',19 29.0,+14 52,292.25,14.866666666666667,II 1p :b
Latysev 1,N/A,N/A,Opn CL,ARI,-,-,330',02 53.2,+27 28,43.3,27.466666666666665,N/A
LDN  134,N/A,N/A,Drk Neb,LIB,--,--,22',15 53.6,-04 39,238.39999999999998,-4.65,5 E G
LDN  557,N/A,N/A,Drk Neb,SER,--,--,60',18 38.6,-01 47,279.65000000000003,-1.7833333333333332,6 Ir
LDN  564,N/A,N/A,Drk Neb,SER,--,--,45',18 37.6,-01 12,279.4,-1.2,5 Ir
LDN  582,N/A,N/A,Drk Neb,AQL,--,--,60',18 52.6,-01 56,283.15,-1.9333333333333333,5 Ir
LDN  617,N/A,N/A,Drk Neb,AQL,--,--,180',18 57.5,+01 04,284.375,1.0666666666666667,5 Ir
LDN  673,N/A,N/A,Drk Neb,AQL,--,--,55',19 20.9,+11 16,290.22499999999997,11.266666666666667,6 Ir
LDN  684,N/A,N/A,Drk Neb,AQL,--,--,50',19 21.8,+12 26,290.45,12.433333333333334,5 Ir
LDN  889,N/A,N/A,Drk Neb,CYG,--,--,90',20 24.8,+40 10,306.2,40.166666666666664,4 Ir
LDN  896,N/A,N/A,Drk Neb,CYG,--,--,N/A,20 40.0,+42 00,310.0,42.0,3 Ir
LDN  935,N/A,N/A,Drk Neb,CYG,--,--,150',20 56.8,+43 52,314.2,43.86666666666667,4 Ir
LDN 1543,N/A,N/A,Drk Neb,TAU,--,--,35',04 27.4,+18 52,66.85000000000001,18.866666666666667,6 Ir
LDN 1616,N/A,N/A,Drk Neb,ORI,--,--,10',05 06.5,-03 26,76.625,-3.4333333333333336,5 Ir
LDN 1622,N/A,N/A,Drk Neb,ORI,--,--,15',05 54.6,+02 00,88.65,2.0,6 Ir G
LDN 1641,N/A,N/A,Drk Neb,ORI,--,--,300',05 33.0,-06 00,83.25,-6.0,5 Ir
LDN 1710,N/A,N/A,Drk Neb,SCO,--,--,60',17 20.7,-31 57,260.17499999999995,-31.95,5 Ir
Le Gentil 3,N/A,N. Coal Sack,Drk Neb,CYG,--,--,720',21 00.0,+51 00,315.0,51.0,N/A
Lynga  3,N/A,N/A,Opn CL,CIR,-,-,5',15 16.8,-58 23,229.2,-58.38333333333333,III 1p :a
Lynga  4,N/A,N/A,Opn CL,NOR,11.4,-,3',15 33.3,-55 13,233.325,-55.21666666666667,IV 2 p
Lynga  5,N/A,N/A,Opn CL,NOR,-,-,5',15 42.0,-56 39,235.5,-56.65,III 1p :b
Lynga  6,N/A,N/A,Opn CL,NOR,9.5,-,5',16 04.8,-51 57,241.2,-51.95,N/A
Lynga  7,N/A,N/A,Opn CL,NOR,-,-,2.2',16 11.0,-55 18,242.75,-55.3,II 2p :a
Lynga  8,N/A,N/A,Opn CL,NOR,-,-,1',16 22.9,-50 11,245.72500000000002,-50.18333333333333,III 2m :a
Lynga  9,N/A,N/A,Opn CL,NOR,-,-,5',16 20.7,-48 31,245.17499999999998,-48.516666666666666,III 1m:a
Lynga 11,N/A,N/A,Opn CL,ARA,-,-,4',16 38.1,-46 19,249.52500000000003,-46.31666666666667,III 2p :b
Lynga 12,N/A,N/A,Opn CL,ARA,-,-,5',16 46.0,-50 46,251.5,-50.766666666666666,III 2m :b
Lynga 13,N/A,N/A,Opn CL,SCO,-,-,7',16 50.0,-43 26,252.49999999999997,-43.43333333333333,III 1m:b
Lynga 14,N/A,N/A,Opn CL,SCO,9.7,-,2',16 55.0,-45 15,253.75000000000003,-45.25,N/A
Maffei 1,N/A,N/A,Galaxy,CAS,11.4,10,5',02 36.3,+59 39,39.075,59.65,N/A
Markarian 38,N/A,N/A,Opn CL,SGR,-,-,2',18 15.3,-18 59,273.825,-18.983333333333334,I 1p :a
Mrk   6,N/A,N/A,Opn CL,CAS,7.1,-,4.5',02 29.6,+60 39,37.4,60.65,IV 2 p
Mrk  18,N/A,N/A,Opn CL,VEL,7.8,-,2.0',09 00.6,-48 59,135.15,-48.983333333333334,N/A
Mrk  50,N/A,N/A,Opn CL,CEP,8.5,-,5.0',23 15.3,+60 28,348.825,60.46666666666667,I 2 p n
Mrk 408,N/A,CGCG 182-020,Galaxy,LEO,13.9,-,N/A,09 48.1,+32 53,147.02499999999998,32.88333333333333,N/A
MCG +02-32-110,N/A,N/A,Galaxy,VIR,11.2,-,N/A,12 30.9,+12 16,187.72500000000002,12.266666666666667,N/A
MCG +08-01-016,N/A,N/A,Galaxy,AND,12,-,1.0',23 59.2,+46 53,359.8,46.88333333333333,N/A
MCG +08-01-018,N/A,N/A,Galaxy,AND,12,-,0.4',23 59.9,+47 16,359.975,47.266666666666666,N/A
MCG +09-20-046,N/A,N/A,Galaxy,UMA,11.8,-,1.5',11 57.8,+55 28,179.45,55.46666666666667,N/A
MCG +09-20-052,N/A,N/A,Galaxy,UMA,11.7,-,2.5',11 59.5,+50 55,179.875,50.916666666666664,N/A
MCG +10-13-057,N/A,N/A,Galaxy,UMA,12.1,-,1.3',09 07.6,+60 28,136.9,60.46666666666667,N/A
MCG +10-19-040,N/A,N/A,Galaxy,UMA,12,-,0.5',13 08.7,+62 17,197.17499999999998,62.28333333333333,N/A
MCG +13-07-007,N/A,N/A,Galaxy,CAM,12,-,0.9',08 53.2,+76 30,133.3,76.5,N/A
MCG -01-24-001,N/A,N/A,Galaxy,HYA,11.3,12.7,4.3',09 10.8,-08 54,137.7,-8.9,N/A
MCG -01-25-011,N/A,N/A,Galaxy,HYA,11,-,2',09 38.9,-04 49,144.725,-4.816666666666666,N/A
MCG -02-24-007,N/A,Hydra A,Galaxy,HYA,12.9,12.1,0.7',09 18.1,-12 06,139.52499999999998,-12.1,SA0
MCG -02-53-003,N/A,Aquarius Dwarf,Galaxy,AQR,13.9,14.8,2.2',20 46.8,-12 51,311.70000000000005,-12.85,IBm
MCG -03-01-015,N/A,UGCA 444;WLM,Galaxy,CET,10.6,14.6,11',00 01.9,-15 27,0.4749999999999999,-15.45,N/A
MCG -03-03-011,N/A,N/A,Galaxy,CET,12.5,13.9,3',00 58.8,-18 47,14.7,-18.783333333333335,N/A
MCG -03-28-004,N/A,N/A,Galaxy,HYA,12,-,0.3',10 48.1,-20 53,162.02499999999998,-20.883333333333333,N/A
MCG -03-34-014,N/A,N/A,Galaxy,VIR,12,-,2.5',13 12.5,-17 31,198.125,-17.516666666666666,Sc pec
MCG -05-18-002,N/A,PK 241- 7.1,Galaxy,CMA,-,-,0.1',07 16.5,-29 19,109.125,-29.316666666666666,N/A
MCG -06-03-015,N/A,Sculptor Dwarf,Galaxy,SCL,10.5,17.1,40',00 59.9,-33 43,14.975,-33.71666666666667,E
mcg06-07-001,N/A,Fornax Dw.,Galaxy,FOR,8.9,13.9,17',02 39.9,-34 32,39.975,-34.53333333333333,E4
Mel  15,N/A,Cr  26,Opn CL,CAS,6.6,-,21.0',02 32.6,+61 27,38.15,61.45,III 3 p n
Mel  20,N/A,Cr  39,Opn CL,PER,1.2,-,185',03 24.3,+49 52,51.075,49.86666666666667,III 3 m
Mel  25,N/A,Hyades,Opn CL,TAU,0.5,-,330',04 27.0,+16 00,66.75,16.0,II 3 m
Mel  31,N/A,N/A,Opn CL,AUR,-,-,135',05 18.2,+33 22,79.55000000000001,33.36666666666667,N/A
Mel  66,N/A,Cr 147,Opn CL,PUP,7.8,-,10',07 26.3,-47 41,111.575,-47.68333333333333,II 2 m
Mel  71,N/A,Cr 155,Opn CL,PUP,7.1,-,9',07 37.5,-12 04,114.375,-12.066666666666666,II 1 m
Mel  72,N/A,Cr 467,Opn CL,MON,10.1,-,9',07 38.5,-10 42,114.625,-10.7,III 1 m
Mel 111,N/A,Cr 256,Opn CL,COM,1.8,-,275',12 25.1,+26 07,186.275,26.116666666666667,II 3 p
Mel 186,N/A,Cr 359,Opn CL,OPH,3,-,240',18 01.1,+02 54,270.27500000000003,2.9,IV 3 m
Moffat 1,N/A,N/A,Opn CL,NOR,-,-,8',16 02.4,-54 08,240.6,-54.13333333333333,IV 2p :b
New 1,N/A,MCG -01-03-085,Galaxy,CET,11.8,14.4,4.5',01 05.1,-06 13,16.275,-6.216666666666667,S
New 3,N/A,MCG -02-33-015,Galaxy,VIR,11.6,14.2,2.5',12 49.4,-10 07,192.35000000000002,-10.116666666666667,Sc?
Pal  1,N/A,N/A,Opn CL,CEP,13.6,-,2.8',03 33.3,+79 35,53.324999999999996,79.58333333333333,N/A
Pal  2,N/A,N/A,Glob CL,AUR,13,-,2.2',04 46.1,+31 23,71.525,31.383333333333333,IX
Pal  3,N/A,N/A,Glob CL,SEX,13.9,-,1.6',10 05.5,+00 04,151.375,0.06666666666666667,XII
Pal  5,N/A,N/A,Glob CL,SER,11.8,-,8.0',15 16.1,-00 07,229.02499999999998,-0.11666666666666667,XII
Pal  6,N/A,N/A,Glob CL,OPH,11.6,-,1.2',17 43.7,-26 13,265.92499999999995,-26.216666666666665,XI
Pal  8,N/A,N/A,Glob CL,SGR,10.9,-,5.2',18 41.5,-19 49,280.375,-19.816666666666666,X
Pal 10,N/A,N/A,Glob CL,SGE,13.2,-,4.0',19 18.0,+18 34,289.5,18.566666666666666,XII
Pal 11,N/A,N/A,Glob CL,AQL,9.8,-,10',19 45.3,-08 01,296.325,-8.016666666666667,XI
Pal 12,N/A,N/A,Glob CL,CAP,11.7,-,2.9',21 46.5,-21 15,326.625,-21.25,XII
Pal 13,N/A,N/A,Glob CL,PEG,13.8,-,0.7',23 06.7,+12 46,346.675,12.766666666666667,XII
Pismis  1,N/A,N/A,Opn CL,PUP,10.7,-,4.6',08 17.8,-37 05,124.45,-37.083333333333336,I 3 p
Pismis  2,N/A,N/A,Opn CL,PUP,-,-,4.3',08 17.9,-41 40,124.47500000000001,-41.666666666666664,II 1r :b
Pismis  3,N/A,N/A,Opn CL,VEL,-,-,6',08 31.4,-38 39,127.85,-38.65,II 1m:b
Pismis  4,N/A,N/A,Opn CL,VEL,5.9,-,18',08 34.6,-44 22,128.65,-44.36666666666667,IV 1 p n
Pismis  5,N/A,N/A,Opn CL,VEL,9.9,-,2',08 37.6,-39 34,129.4,-39.56666666666667,III 2 p n
Pismis  7,N/A,N/A,Opn CL,VEL,-,-,2.5',08 41.1,-38 42,130.275,-38.7,II 1m:b
Pismis  8,N/A,N/A,Opn CL,VEL,9.5,-,2',08 41.6,-46 17,130.4,-46.28333333333333,II 3 p
Pismis 10,N/A,N/A,Opn CL,VEL,-,-,2.5',09 02.6,-43 38,135.65,-43.63333333333333,N/A
Pismis 11,N/A,vdB-Ha  60,Opn CL,VEL,-,-,2',09 16.0,-50 01,139.0,-50.016666666666666,I 2p :b
Pismis 12,N/A,N/A,Opn CL,VEL,9.7,-,4.5',09 19.9,-45 08,139.975,-45.13333333333333,III 2 p
Pismis 13,N/A,N/A,Opn CL,VEL,10.2,-,2',09 22.1,-51 06,140.525,-51.1,II 2 p
Pismis 14,N/A,N/A,Opn CL,VEL,-,-,1.5',09 29.3,-52 42,142.325,-52.7,II 2p :b
Pismis 15,N/A,N/A,Opn CL,VEL,-,-,4.5',09 34.8,-48 02,143.7,-48.03333333333333,II 1m:b
Pismis 16,N/A,N/A,Opn CL,VEL,8,-,1.5',09 51.3,-53 11,147.82500000000002,-53.18333333333333,I 3 p
Pismis 17,N/A,N/A,Opn CL,CAR,9.4,-,0.6',11 01.1,-59 49,165.27499999999998,-59.81666666666667,III 2 p
Pismis 20,N/A,N/A,Opn CL,CIR,7.8,-,4.5',15 15.4,-59 04,228.85,-59.06666666666667,I 3 p
Pismis 21,N/A,N/A,Opn CL,CIR,-,-,2',15 16.9,-59 40,229.225,-59.666666666666664,I 3p :a
Pismis 22,N/A,N/A,Opn CL,NOR,-,-,4',16 14.1,-51 53,243.52499999999998,-51.88333333333333,I 2p :a
Pismis 23,N/A,N/A,Opn CL,NOR,-,-,1',16 24.0,-47 19,245.99999999999997,-47.31666666666667,III 2m :a
Pismis 24,N/A,N/A,Opn CL,SCO,9.6,-,4',17 24.7,-34 12,261.17499999999995,-34.2,IV 2 p n
RCW  47,N/A,N/A,Brt Neb,CAR,-,-,25',10 05.2,-58 57,151.29999999999998,-58.95,E
RCW  50,N/A,N/A,Brt Neb,CAR,-,-,12',10 27.4,-57 09,156.85,-57.15,E
RCW  59,N/A,N/A,Brt Neb,CEN,-,-,180',11 37.0,-57 00,174.25,-57.0,E
RCW 102,N/A,N/A,Brt Neb,NOR,-,-,12',16 17.8,-51 55,244.45,-51.916666666666664,E
RCW 103,N/A,N/A,SN Rem,NOR,-,-,5',16 17.1,-51 07,244.275,-51.11666666666667,N/A
RCW 104,N/A,N/A,Brt Neb,NOR,-,-,20',16 24.0,-51 31,245.99999999999997,-51.516666666666666,E
RCW 106,N/A,N/A,Brt Neb,NOR,-,-,35',16 20.8,-50 55,245.20000000000002,-50.916666666666664,E
RCW 126,N/A,N/A,Brt Neb,SCO,-,-,16',17 16.9,-36 21,259.225,-36.35,E
Roslund 1,N/A,N/A,Opn CL,SGE,-,-,3',19 45.1,+17 35,296.275,17.583333333333332,IV 1p :b
Roslund 2,N/A,N/A,Opn CL,VUL,-,-,15.0',19 45.4,+23 56,296.35,23.933333333333334,IV 2p :b
Roslund 3,N/A,N/A,Opn CL,SGE,-,-,5',19 58.7,+20 31,299.67499999999995,20.516666666666666,IV 1p :b
Roslund 4,N/A,N/A,Opn CL,VUL,10,-,6',20 04.9,+29 13,301.225,29.216666666666665,IV 2 p n
Roslund 5,N/A,N/A,Opn CL,CYG,-,-,45',20 10.0,+33 46,302.5,33.766666666666666,IV 3 p n
Roslund 6,N/A,N/A,Opn CL,CYG,-,-,24',20 28.8,+39 20,307.2,39.333333333333336,IV 3mn:b
Roslund 7,N/A,N/A,Opn CL,CYG,-,-,20',20 52.1,+37 54,313.025,37.9,IV 2p :a
Steph 1,N/A,N/A,Opn CL,LYR,3.8,-,20.0',18 54.5,+36 54,283.625,36.9,IV 3 p
Stock  1,N/A,N/A,Opn CL,VUL,5.3,-,60',19 35.8,+25 11,293.95,25.183333333333334,III 2 m
Stock  2,N/A,N/A,Opn CL,CAS,4.4,-,60',02 14.7,+59 29,33.675000000000004,59.483333333333334,III 1 m
Stock  3,N/A,N/A,Opn CL,CAS,-,-,2',01 12.0,+62 16,18.0,62.266666666666666,IV 1 p
Stock  4,N/A,N/A,Opn CL,PER,-,-,20',01 52.8,+57 04,28.2,57.06666666666667,III 1 p
Stock  5,N/A,N/A,Opn CL,CAS,7,-,15',02 04.5,+64 23,31.125000000000004,64.38333333333334,IV 2 p
Stock  8,N/A,N/A,Opn CL,AUR,-,-,5',05 28.1,+34 25,82.025,34.416666666666664,I 2 p n
Stock 10,N/A,N/A,Opn CL,AUR,-,-,25',05 39.0,+37 52,84.75,37.86666666666667,IV 3 p
Stock 11,N/A,N/A,Opn CL,CAS,-,-,10',23 30.9,+55 45,352.725,55.75,IV 2 p
Stock 12,N/A,N/A,Opn CL,CAS,-,-,20',23 36.4,+52 33,354.09999999999997,52.55,IV 2 p
Stock 13,N/A,N/A,Opn CL,CAR,7,-,3',11 13.1,-58 55,168.275,-58.916666666666664,I 2 p n
Stock 15,N/A,N/A,Opn CL,CRU,-,-,12',12 10.5,-59 30,182.625,-59.5,IV 1 p
Stock 17,N/A,N/A,Opn CL,CAS,-,-,1',23 43.7,+62 10,355.92499999999995,62.166666666666664,I 3p :a
Stock 18,N/A,N/A,Opn CL,CAS,-,-,5',00 01.6,+64 37,0.4,64.61666666666666,IV 2p :a
Stock 19,N/A,N/A,Opn CL,CAS,-,-,3',00 04.4,+56 05,1.1,56.083333333333336,II 2 p
Stock 20,N/A,N/A,Opn CL,CAS,-,-,1',00 25.2,+62 39,6.3,62.65,II 2p :a
Stock 21,N/A,N/A,Opn CL,CAS,-,-,5',00 30.5,+57 56,7.625,57.93333333333333,IV 2p :b
Stock 23,N/A,N/A,Opn CL,CAM,-,-,15',03 16.2,+60 06,49.05,60.1,III 3 p n
Stock 24,N/A,Berk   3,Opn CL,CAS,8.8,-,4',00 39.7,+61 57,9.925,61.95,IV 2 P
Ter  5,N/A,N/A,Glob CL,SGR,13.9,-,2.1',17 48.1,-24 47,267.025,-24.783333333333335,N/A
Ter  6,N/A,N/A,Glob CL,SCO,13.9,-,1.2',17 50.7,-31 17,267.67499999999995,-31.283333333333335,N/A
Tombaugh 1,N/A,OCL  603,Opn CL,CMA,10.5,-,5',07 00.5,-20 34,105.125,-20.566666666666666,III 1m:b
Tombaugh 2,N/A,OCL  605,Opn CL,CMA,-,-,3',07 03.1,-20 49,105.775,-20.816666666666666,I 1m:b
Tombaugh 4,N/A,N/A,Opn CL,CAS,-,-,2.5',02 29.2,+61 47,37.300000000000004,61.78333333333333,II 1 mn:b
Tombaugh 5,N/A,N/A,Opn CL,CAM,8.4,-,17',03 47.7,+59 05,56.925,59.083333333333336,III 2 m
Ton 2,N/A,N/A,Glob CL,SCO,12.2,-,3.4',17 36.6,-39 04,264.15,-39.06666666666667,N/A
Tr  1,N/A,Cr  15,Opn CL,CAS,8.1,-,4.5',01 35.7,+61 17,23.925000000000004,61.28333333333333,I 3 p
Tr  2,N/A,Cr  29,Opn CL,PER,5.9,-,20',02 36.9,+55 55,39.225,55.916666666666664,III 2 p
Tr  3,N/A,Cr  36;Harvard 1,Opn CL,CAS,7,-,23',03 11.9,+63 11,47.975,63.18333333333333,III 3 p
Tr  5,N/A,Cr 105,Opn CL,MON,10.9,-,8',06 36.5,+09 29,99.125,9.483333333333333,II 3 r n
Tr  6,N/A,Cr 145,Opn CL,CMA,10,-,6',07 26.4,-24 13,111.60000000000001,-24.216666666666665,III 2 p
Tr  7,N/A,Cr 146,Opn CL,PUP,7.9,-,5',07 27.3,-24 00,111.825,-24.0,II 3 p n
Tr  9,N/A,Cr 168;Harvard 2,Opn CL,PUP,8.7,-,6',07 55.7,-25 53,118.92500000000001,-25.883333333333333,II 2 p
Tr 10,N/A,Cr 203,Opn CL,VEL,4.6,-,15',08 47.8,-42 29,131.95,-42.483333333333334,II 2 p
Tr 14,N/A,Cr 230,Opn CL,CAR,5.5,-,5',10 43.9,-59 33,160.97500000000002,-59.55,N/A
Tr 15,N/A,Cr 231,Opn CL,CAR,7,-,15',10 44.4,-59 21,161.1,-59.35,III 2 pn
Tr 16,N/A,Cr 233,Opn CL,CAR,5,-,10',10 45.1,-59 43,161.275,-59.71666666666667,N/A
Tr 17,N/A,Cr 235,Opn CL,CAR,8.4,-,5',10 56.4,-59 13,164.1,-59.21666666666667,II 2 p
Tr 19,N/A,Cr 243,Opn CL,CAR,9.6,-,10',11 14.3,-57 35,168.575,-57.583333333333336,III 3 m
Tr 23,N/A,Cr 295,Opn CL,NOR,11.2,-,5',16 00.8,-53 31,240.2,-53.516666666666666,II 2 p
Tr 24,N/A,Harvard 12,Opn CL,SCO,8.6,-,60',16 57.0,-40 38,254.25,-40.63333333333333,IV 2 p n
Tr 25,N/A,N/A,Opn CL,SCO,11.7,-,5',17 24.5,-39 01,261.125,-39.016666666666666,II 1m:b
Tr 26,N/A,Cr 331,Opn CL,OPH,9.5,-,7',17 28.5,-29 30,262.125,-29.5,III 2 p
Tr 27,N/A,Cr 336,Opn CL,SCO,6.7,-,7',17 36.2,-33 29,264.04999999999995,-33.483333333333334,I 2 p
Tr 28,N/A,Cr 337,Opn CL,SCO,7.7,-,8',17 36.9,-32 28,264.22499999999997,-32.46666666666667,II 2 p n
Tr 29,N/A,Cr 343,Opn CL,SCO,7.5,-,9',17 41.6,-40 07,265.40000000000003,-40.11666666666667,II 3 p
Tr 30,N/A,Harvard 18,Opn CL,SCO,8.8,-,10',17 56.5,-35 19,269.125,-35.31666666666667,III 2 p
Tr 31,N/A,Cr 357,Opn CL,SGR,9.8,-,8',17 59.9,-28 11,269.975,-28.183333333333334,III 1 p
Tr 32,N/A,Harvard 19,Opn CL,SER,12.2,-,4',18 17.2,-13 21,274.29999999999995,-13.35,I 2m :b
Tr 33,N/A,Cr 378,Opn CL,SGR,7.8,-,7',18 24.6,-19 44,276.15,-19.733333333333334,II 3 p
Tr 34,N/A,Cr 387,Opn CL,SCT,8.6,-,8',18 39.8,-08 29,279.95,-8.483333333333333,II 2 m
Tr 35,N/A,Cr 398,Opn CL,SCT,9.2,-,9',18 42.9,-04 14,280.725,-4.233333333333333,II 2 p
Tr 37,N/A,Cr 439,Opn CL,CEP,5.1,-,50',21 39.0,+57 30,324.75,57.5,II 3 m
vdB   1,N/A,LBN 578,Brt Neb,CAS,-,-,5',00 10.6,+58 46,2.65,58.766666666666666,R
vdB   8,N/A,LBN 643,Brt Neb,CAS,-,-,3.6',02 51.5,+67 49,42.875,67.81666666666666,R
vdB  14,N/A,LBN 681,Brt Neb,CAM,-,-,46',03 30.3,+59 34,52.574999999999996,59.56666666666667,R
vdB  15,N/A,LBN 684,Brt Neb,CAM,-,-,40',03 29.5,+58 54,52.375,58.9,R
vdB  16,N/A,LBN 746,Brt Neb,ARI,-,-,11',03 28.3,+29 47,52.075,29.783333333333335,R
vdB  20,N/A,IC 349,Brt Neb,TAU,11.6,-,70.0',03 46.0,+24 10,56.5,24.166666666666668,R
vdB  23,N/A,N/A,Brt Neb,TAU,11.9,-,27',03 47.5,+24 06,56.875,24.1,R
vdB  24,N/A,N/A,Brt Neb,PER,-,-,9',03 49.6,+38 59,57.4,38.983333333333334,R
vdB  26,N/A,LBN 828,Brt Neb,TAU,-,-,11',04 13.6,+10 13,63.4,10.216666666666667,R
vdB  29,N/A,LBN 792,Brt Neb,TAU,-,-,10',04 48.2,+29 46,72.05000000000001,29.766666666666666,R
vdB  31,N/A,LBN 798,Brt Neb,AUR,-,-,9',04 55.8,+30 34,73.94999999999999,30.566666666666666,R
vdB  37,N/A,LBN 850,Brt Neb,ORI,-,-,12',05 18.1,+13 26,79.525,13.433333333333334,R
vdB  38,N/A,Ced  44,Brt Neb,ORI,-,-,20',05 21.4,+08 25,80.35,8.416666666666666,R
vdB  49,N/A,LBN 894,Brt Neb,ORI,-,-,6',05 39.2,+04 07,84.8,4.116666666666666,R
vdB  80,N/A,LBN 1015,Brt Neb,MON,-,-,5.8',06 30.9,-09 39,97.725,-9.65,R
vdB  96,N/A,Ced  96,Brt Neb,CMA,-,-,10',07 19.9,-24 02,109.97500000000001,-24.033333333333335,R
vdB  97,N/A,N/A,Brt Neb,PUP,-,-,10',07 32.2,-17 03,113.05000000000001,-17.05,R
vdB  98,N/A,Ced 101,Brt Neb,PUP,-,-,10',07 36.6,-25 18,114.15,-25.3,R
vdB 107,N/A,Ced 132,Brt Neb,SCO,-,-,85',16 29.2,-26 27,247.3,-26.45,R
vdB 111,N/A,LBN 88,Brt Neb,OPH,-,-,12',17 19.0,+06 05,259.75,6.083333333333333,R
vdB 123,N/A,LBN 96,Brt Neb,SER,-,-,10',18 30.4,+01 14,277.6,1.2333333333333334,R
vdB 126,N/A,Ced  16,Brt Neb,VUL,-,-,7',19 26.2,+22 45,291.55,22.75,R
vdB 128,N/A,N/A,Brt Neb,CYG,-,-,8',20 04.5,+32 14,301.125,32.233333333333334,R
vdB 133,N/A,LBN 218,Brt Neb,CYG,-,-,10',20 31.0,+36 57,307.75,36.95,R
vdB 140,N/A,Ced 191,Brt Neb,CEP,-,-,12',21 17.4,+58 37,319.34999999999997,58.61666666666667,R
vdB 143,N/A,Ced 194,Brt Neb,CEP,-,-,8',21 37.0,+68 11,324.25,68.18333333333334,R
vdB 145,N/A,N/A,Brt Neb,CYG,-,-,9',21 43.7,+48 55,325.92499999999995,48.916666666666664,R
vdBH 81,N/A,N/A,Brt Neb,ARA,-,-,6',17 04.0,-51 05,256.0,-51.083333333333336,R
VY CMA,N/A,N/A,Brt Neb,CMA,10.8,-,0.2',07 23.0,-25 46,110.75,-25.766666666666666,R
Waterloo 6,N/A,N/A,Opn CL,VEL,8.4,-,2.2',08 40.4,-46 09,130.1,-46.15,II 3 p
Wild's triplet,N/A,N/A,Galaxy,VIR,13.3,-,3',11 46.6,-03 52,176.65,-3.8666666666666667,N/A
